Layer	File	Thickness	Pause	Material	Speed	Intensity
1	CompositeTensile7001.png	5	0.500	1	5.00	50
2	CompositeTensile7002.png	5	0.500	1	5.00	50
3	CompositeTensile7003.png	5	0.500	1	5.00	50
4	CompositeTensile7004.png	5	0.500	1	5.00	50
5	CompositeTensile7005.png	5	0.500	1	5.00	50
6	CompositeTensile7006.png	5	0.500	1	5.00	50
7	CompositeTensile7007.png	5	0.500	1	5.00	50
8	CompositeTensile7008.png	5	0.500	1	5.00	50
9	CompositeTensile7009.png	5	0.500	1	5.00	50
10	CompositeTensile7010.png	5	0.500	1	5.00	50
11	CompositeTensile7011.png	5	0.500	1	5.00	50
12	CompositeTensile7012.png	5	0.500	1	5.00	50
13	CompositeTensile7013.png	5	0.500	1	5.00	50
14	CompositeTensile7014.png	5	0.500	1	5.00	50
15	CompositeTensile7015.png	5	0.500	1	5.00	50
16	CompositeTensile7016.png	5	0.500	1	5.00	50
17	CompositeTensile7017.png	5	0.500	1	5.00	50
18	CompositeTensile7018.png	5	0.500	1	5.00	50
19	CompositeTensile7019.png	5	0.500	1	5.00	50
20	CompositeTensile7020.png	5	0.500	1	5.00	50
21	CompositeTensile7021.png	5	0.500	1	5.00	50
22	CompositeTensile7022.png	5	0.500	1	5.00	50
23	CompositeTensile7023.png	5	0.500	1	5.00	50
24	CompositeTensile7024.png	5	0.500	1	5.00	50
25	CompositeTensile7025.png	5	0.500	1	5.00	50
26	CompositeTensile7026.png	5	0.500	1	5.00	50
27	CompositeTensile7027.png	5	0.500	1	5.00	50
28	CompositeTensile7028.png	5	0.500	1	5.00	50
29	CompositeTensile7029.png	5	0.500	1	5.00	50
30	CompositeTensile7030.png	5	0.500	1	5.00	50
31	CompositeTensile7031.png	5	0.500	1	5.00	50
32	CompositeTensile7032.png	5	0.500	1	5.00	50
33	CompositeTensile7033.png	5	0.500	1	5.00	50
34	CompositeTensile7034.png	5	0.500	1	5.00	50
35	CompositeTensile7035.png	5	0.500	1	5.00	50
36	CompositeTensile7036.png	5	0.500	1	5.00	50
37	CompositeTensile7037.png	5	0.500	1	5.00	50
38	CompositeTensile7038.png	5	0.500	1	5.00	50
39	CompositeTensile7039.png	5	0.500	1	5.00	50
40	CompositeTensile7040.png	5	0.500	1	5.00	50
41	CompositeTensile7041.png	5	0.500	1	5.00	50
42	CompositeTensile7042.png	5	0.500	1	5.00	50
43	CompositeTensile7043.png	5	0.500	1	5.00	50
44	CompositeTensile7044.png	5	0.500	1	5.00	50
45	CompositeTensile7045.png	5	0.500	1	5.00	50
46	CompositeTensile7046.png	5	0.500	1	5.00	50
47	CompositeTensile7047.png	5	0.500	1	5.00	50
48	CompositeTensile7048.png	5	0.500	1	5.00	50
49	CompositeTensile7049.png	5	0.500	1	5.00	50
50	CompositeTensile7050.png	5	0.500	1	5.00	50
51	CompositeTensile7051.png	5	0.500	1	5.00	50
52	CompositeTensile7052.png	5	0.500	1	5.00	50
53	CompositeTensile7053.png	5	0.500	1	5.00	50
54	CompositeTensile7054.png	5	0.500	1	5.00	50
55	CompositeTensile7055.png	5	0.500	1	5.00	50
56	CompositeTensile7056.png	5	0.500	1	5.00	50
57	CompositeTensile7057.png	5	0.500	1	5.00	50
58	CompositeTensile7058.png	5	0.500	1	5.00	50
59	CompositeTensile7059.png	5	0.500	1	5.00	50
60	CompositeTensile7060.png	5	0.500	1	5.00	50
61	CompositeTensile7061.png	5	0.500	1	5.00	50
62	CompositeTensile7062.png	5	0.500	1	5.00	50
63	CompositeTensile7063.png	5	0.500	1	5.00	50
64	CompositeTensile7064.png	5	0.500	1	5.00	50
65	CompositeTensile7065.png	5	0.500	1	5.00	50
66	CompositeTensile7066.png	5	0.500	1	5.00	50
67	CompositeTensile7067.png	5	0.500	1	5.00	50
68	CompositeTensile7068.png	5	0.500	1	5.00	50
69	CompositeTensile7069.png	5	0.500	1	5.00	50
70	CompositeTensile7070.png	5	0.500	1	5.00	50
71	CompositeTensile7071.png	5	0.500	1	5.00	50
72	CompositeTensile7072.png	5	0.500	1	5.00	50
73	CompositeTensile7073.png	5	0.500	1	5.00	50
74	CompositeTensile7074.png	5	0.500	1	5.00	50
75	CompositeTensile7075.png	5	0.500	1	5.00	50
76	CompositeTensile7076.png	5	0.500	1	5.00	50
77	CompositeTensile7077.png	5	0.500	1	5.00	50
78	CompositeTensile7078.png	5	0.500	1	5.00	50
79	CompositeTensile7079.png	5	0.500	1	5.00	50
80	CompositeTensile7080.png	5	0.500	1	5.00	50
81	CompositeTensile7081.png	5	0.500	1	5.00	50
82	CompositeTensile7082.png	5	0.500	1	5.00	50
83	CompositeTensile7083.png	5	0.500	1	5.00	50
84	CompositeTensile7084.png	5	0.500	1	5.00	50
85	CompositeTensile7085.png	5	0.500	1	5.00	50
86	CompositeTensile7086.png	5	0.500	1	5.00	50
87	CompositeTensile7087.png	5	0.500	1	5.00	50
88	CompositeTensile7088.png	5	0.500	1	5.00	50
89	CompositeTensile7089.png	5	0.500	1	5.00	50
90	CompositeTensile7090.png	5	0.500	1	5.00	50
91	CompositeTensile7091.png	5	0.500	1	5.00	50
92	CompositeTensile7092.png	5	0.500	1	5.00	50
93	CompositeTensile7093.png	5	0.500	1	5.00	50
94	CompositeTensile7094.png	5	0.500	1	5.00	50
95	CompositeTensile7095.png	5	0.500	1	5.00	50
96	CompositeTensile7096.png	5	0.500	1	5.00	50
97	CompositeTensile7097.png	5	0.500	1	5.00	50
98	CompositeTensile7098.png	5	0.500	1	5.00	50
99	CompositeTensile7099.png	5	0.500	1	5.00	50
100	CompositeTensile7100.png	5	0.500	1	5.00	50
